signature,top_cell_type,top_z,z_Bcell,z_DC,z_Endo,z_Epi,z_Fibro,z_Macro,z_NK,z_Peri,z_Plasma,z_Tcell
MPS_Guijarro,Epi,1.7160976068132459,-0.8912561744966553,-0.7052008280244524,1.0974016341714306,1.7160976068132459,1.373331949257846,-0.5276361251678895,-0.07597854875548392,-0.31363679540206857,-1.5039523650268236,-0.16917035336914915
Macrophage_Danaher,Macro,2.952664440606508,-0.07925707035728416,0.09058174229102271,-0.4843698419753219,-0.40121340317862547,-0.3758666441047039,2.952664440606508,-0.39920002504653196,-0.414205897850613,-0.49048869137302303,-0.3986446090114274
NonResponse_Chen,Epi,2.303838391046075,-0.31014035841457754,-0.5604511734962768,0.5809287191623015,2.303838391046075,0.25423715552331555,-0.9984636381150317,0.407170473910581,-0.06868961599991519,-1.6465218899439262,0.03809193632745441
PDL1_Nishino,Tcell,1.5911542863204888,0.35099235967856124,0.7869125616659048,-1.2453892978824341,-1.4920489812698154,-0.5010009472778334,0.5843956755249586,1.0201765041607538,0.05056477550280165,-1.145756936423386,1.5911542863204888
PTEN-MITF_Cabrita,Fibro,2.059968205702336,-0.3769355344765995,-0.45463953475127983,1.1603194390704166,-0.8813587198230626,2.059968205702336,0.7967139096414111,-0.12856545839822692,0.006351570633604964,-1.446632731527418,-0.7352211460711816
Response_Chen,Macro,1.4449915542569003,0.7501498572057184,-0.16658374642843393,-0.4807130942610109,-1.6409977176225217,-0.9606483978645662,1.4449915542569003,1.292766410750503,-0.5052524369878808,-0.7365518007705245,1.002839371721816
STAT1_Care,Macro,1.8342362846926472,-0.20659286926899867,-0.5497212335815398,-0.09360311379382322,-1.2033366064230206,-0.29004901145560824,1.8342362846926472,1.736350952393552,-0.479651239544954,-1.1565478533556914,0.40891469033743666
TGFB_Mariathasan,Fibro,2.114951295050749,-0.6393803300029586,-0.5037273884724944,1.128196279106797,-0.4650907666575249,2.114951295050749,-0.3097128882263767,-0.8558867690175421,1.1276184648321024,-0.8072966696099002,-0.7896712270028525
TIS_Damotte,NK,1.9805094351851633,0.4590828625996603,-0.6878847768250866,-0.39603589515449944,-1.2348833628208415,-0.6460641096471241,1.4002606148412924,1.9805094351851633,-0.6818063950522653,-0.748590281553417,0.5554119084271179
TLS_Cabrita,Tcell,2.0302860975743244,0.5462452944305219,0.23060939467384817,-0.22634104540714053,-1.842949492435699,0.4188404566434,-1.2112345340899657,0.5567940990565897,-0.24823355387005147,-0.25401671657582753,2.0302860975743244
TUMOR-VASCULATURE-UP_Lu,Fibro,2.109333268098986,-0.49148291994435916,-0.3882821725092255,-0.2056870669219532,-0.1825940858627585,2.109333268098986,0.9288123443817258,-0.6501471992605224,1.0769484360970745,-1.4333823088421604,-0.763518295236808
