signature,top_cell_type,top_z,n_genes,z_Bcell,z_DC,z_Endo,z_Epi,z_Fibro,z_Macro,z_NK,z_Peri,z_Plasma,z_Tcell
Macrophage_Danaher,Macro,2.8220913410186768,4,-0.41030827164649963,0.6838333010673523,-0.4703860580921173,-0.4991559088230133,-0.41443055868148804,2.8220913410186768,-0.4796335697174072,-0.4476097822189331,-0.4912007451057434,-0.29319971799850464
Myeloid-DC_Helmink,DC,2.9750571250915527,5,-0.4371110796928406,2.9750571250915527,-0.15415455400943756,-0.2871512472629547,-0.2600669860839844,-0.07151640206575394,-0.447660356760025,-0.44018399715423584,-0.43201327323913574,-0.44519945979118347
NonResponse_Chen,Epi,1.7319566011428833,248,-0.5869078636169434,0.8912865519523621,0.3940191864967346,1.7319566011428833,-0.014077975414693356,0.08767766505479813,-0.378829687833786,0.22896870970726013,-2.3457045555114746,-0.008388505317270756
PDL1_Nishino,Macro,1.9264473915100098,3,-0.8587813377380371,1.1341443061828613,0.2419804334640503,-0.5223963856697083,-0.2963964641094208,1.9264473915100098,-0.7601833343505859,-0.8384733200073242,-1.1455236673355103,1.119181752204895
PTEN-MITF_Cabrita,Fibro,1.6365835666656494,251,-0.8716398477554321,-0.024430563673377037,0.7714313268661499,-0.29013603925704956,1.6365835666656494,0.14404499530792236,-0.38337191939353943,1.4438912868499756,-1.7987492084503174,-0.6276239156723022
Response_Chen,DC,1.3447308540344238,423,0.1823708862066269,1.3447308540344238,-0.24340596795082092,-1.2201706171035767,-0.6723835468292236,0.8949106931686401,1.263080358505249,-0.8512152433395386,-1.5308914184570312,0.8329740166664124
STAT1_Care,NK,1.4586153030395508,37,-1.3094942569732666,0.7717381119728088,0.6438167691230774,-0.9747335910797119,-0.18448469042778015,1.1384060382843018,1.4586153030395508,-0.4570971131324768,-1.5602436065673828,0.4734766185283661
TGFB_Mariathasan,Peri,2.6277027130126953,17,-0.6364625096321106,-0.3184310495853424,0.07986423373222351,-0.2407388836145401,0.9656451940536499,-0.42148357629776,-0.6924796104431152,2.6277027130126953,-0.7317562699317932,-0.6318597793579102
TIS_Damotte,NK,1.3606758117675781,18,-0.1947653591632843,1.0903085470199585,0.017076510936021805,-1.1357568502426147,-0.743188738822937,0.9373332262039185,1.3606758117675781,-0.9678536653518677,-1.4463850259780884,1.0825555324554443
TLS_Cabrita,Fibro,1.8080464601516724,9,0.40384161472320557,-0.288102388381958,1.3178832530975342,-1.3245116472244263,1.8080464601516724,-0.9223560690879822,0.43556511402130127,-0.5385016202926636,-1.2414125204086304,0.34954768419265747
TUMOR-VASCULATURE-UP_Lu,Peri,2.7384650707244873,29,-0.641854465007782,-0.2959764301776886,-0.1325448900461197,-0.1707005500793457,0.7131518721580505,-0.2415255308151245,-0.5281935334205627,2.7384650707244873,-0.9083367586135864,-0.5324843525886536
